session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Hearing difficulties,Language related disorders,Nationality,Sex,Student Status,Vision
5eee049a28006f258bacb515,5eb921917d0c3201d1c68f76,APPROVED,2020-06-20 12:44:10.634000,2020-06-20 13:30:56.004000,2805.37,29,95,0,100,2020-06-20 15:52:12.695000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eee14749a593026c0ceba3d,5ed79b612e43940453e0e83a,APPROVED,2020-06-20 13:58:11.256000,2020-06-20 14:37:03.968000,2332.712,20,28,0,100,2020-06-20 15:52:13.807000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,Yes,Yes
5eee16cd81b8d2277731648c,5ea0368ab0f7a90189224d79,RETURNED,2020-06-20 14:07:25.421000,,18466.321605,32,103,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eee314bc0833a0a039f756a,5eb109857ef2bc1ca31f94f2,APPROVED,2020-06-20 15:55:32.589000,2020-06-20 16:58:16.956000,3764.367,31,55,1,99,2020-06-20 17:01:37.984000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
5eee31552df2152a01442746,56492ba96902220005c4a768,APPROVED,2020-06-20 15:57:01.330000,2020-06-20 16:26:15.185000,1753.855,22,574,2,100,2020-06-20 17:01:39.054000,5DFE8175,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,English,No,none,United States,Female,Yes,Yes
5eee31674baef32a7bd01c41,5ed78c509f0f14218e2a1c38,APPROVED,2020-06-20 15:55:24.753000,2020-06-20 16:36:25.519000,2460.766,22,48,0,100,2020-06-20 17:01:40.072000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eee31717cff1a29eb381a10,5e78d6a0bc70c94664aae415,APPROVED,2020-06-20 15:55:29.346000,2020-06-20 16:29:31.481000,2042.135,24,142,1,100,2020-06-20 17:01:41.310000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,China,Male,No,Yes
5eee31780171100605f12126,5ea1e08c9315030d25de2c39,APPROVED,2020-06-20 15:55:38.533000,2020-06-20 16:22:17.717000,1599.184,28,126,0,100,2020-06-20 17:01:42.356000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Male,No,Yes
5eee317dd3c4542a1b6ad8cc,5db37bb9da032c000f9e04fa,APPROVED,2020-06-20 15:55:48.024000,2020-06-20 16:21:52.119000,1564.095,21,478,0,100,2020-06-20 17:01:43.361000,5DFE8175,United States,United States,Part-Time,I only know English,English,No,none,United States,Male,Yes,Yes
5eee317e14e9ff29b7ec75b4,5e979817e160d425fdae2d8b,APPROVED,2020-06-20 15:56:49.171000,2020-06-20 16:34:15.123000,2245.952,24,106,0,100,2020-06-20 17:01:44.420000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eee318205c6952ab7f28aa8,5ecdc5dbb53e7d13adad9d7e,APPROVED,2020-06-20 15:55:51.963000,2020-06-20 16:26:12.229000,1820.266,20,69,0,100,2020-06-20 17:01:45.661000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eee31869e33922a68075aa9,5eddd6b796035bafb3bc88d8,RETURNED,2020-06-20 15:55:52.103000,,11959.907994,25,28,2,95,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eee350be18bd729b6eeea34,5eb0cb88932cf718f23f5eb9,APPROVED,2020-06-20 16:10:52.771000,2020-06-20 16:37:41.709000,1608.938,28,104,1,100,2020-06-20 17:01:46.676000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Male,No,Yes
5eee42496a3a3d2b60d6880d,5eea570764dab80e672e54db,APPROVED,2020-06-20 17:07:29.874000,2020-06-20 17:36:32.805000,1742.931,27,16,0,100,2020-06-20 19:13:32.589000,5DFE8175,United States,United States,Unemployed (and job seeking),I only know English,English,No,none,United States,Male,No,Yes
5eee4251671850079af3ce5d,5ede390e9a8192068ae6ae40,APPROVED,2020-06-20 17:07:58.139000,2020-06-20 17:55:14.491000,2836.352,29,31,2,96,2020-06-20 19:13:33.987000,5DFE8175,United States,United States,Full-Time,I only know English,English,No,none,United States,Female,No,Yes
