Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1592570783034,19/06/2020 12:46:23,1592570782899,-4,19/06/2020 08:46:22,20280,8,questionnaire-t1fh,,5702251,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order4,BEGIN QUESTIONNAIRE,
2,1592570835627,19/06/2020 12:47:15,1592570835531,-4,19/06/2020 08:47:15,20280,8,questionnaire-t1fh,,5702251,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order4,consent,Yes
3,1592570835752,19/06/2020 12:47:15,1592570835533,-4,19/06/2020 08:47:15,20280,8,questionnaire-t1fh,,5702251,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order4,consent-quantised,1
4,1592570835752,19/06/2020 12:47:15,1592570835534,-4,19/06/2020 08:47:15,20280,8,questionnaire-t1fh,,5702251,5e52981996dbff2a92ccbd24,1591753,,complete,,5eecb374d2f5e705f2ab4287,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 83.0.4103.97,1440x900,1134x630,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order4,END QUESTIONNAIRE,52635
1,1592571985843,19/06/2020 13:06:25,1592571990938,-4,19/06/2020 09:06:30,20280,8,questionnaire-t1fh,,5702696,5e95f5acbc10f705f132c60b,1591852,,complete,,5eecb8451199ca06ef6402d7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1280x578,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,nw_nw_order2,BEGIN QUESTIONNAIRE,
2,1592571998033,19/06/2020 13:06:38,1592572003403,-4,19/06/2020 09:06:43,20280,8,questionnaire-t1fh,,5702696,5e95f5acbc10f705f132c60b,1591852,,complete,,5eecb8451199ca06ef6402d7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1263x578,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,nw_nw_order2,consent,Yes
3,1592571998189,19/06/2020 13:06:38,1592572003404,-4,19/06/2020 09:06:43,20280,8,questionnaire-t1fh,,5702696,5e95f5acbc10f705f132c60b,1591852,,complete,,5eecb8451199ca06ef6402d7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1263x578,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,nw_nw_order2,consent-quantised,1
4,1592571998189,19/06/2020 13:06:38,1592572003404,-4,19/06/2020 09:06:43,20280,8,questionnaire-t1fh,,5702696,5e95f5acbc10f705f132c60b,1591852,,complete,,5eecb8451199ca06ef6402d7,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.97,1280x720,1263x578,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,nw_nw_order2,END QUESTIONNAIRE,12467
1,1592572540277,19/06/2020 13:15:40,1592572541109,-5,19/06/2020 08:15:41,20280,8,questionnaire-t1fh,,5702865,5a245378336eb200013d4630,1591889,,complete,,5eecba4630826a05a67fc23a,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1536x754,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,BEGIN QUESTIONNAIRE,
2,1592572585914,19/06/2020 13:16:25,1592572586787,-5,19/06/2020 08:16:26,20280,8,questionnaire-t1fh,,5702865,5a245378336eb200013d4630,1591889,,complete,,5eecba4630826a05a67fc23a,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1519x754,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,consent,Yes
3,1592572586071,19/06/2020 13:16:26,1592572586789,-5,19/06/2020 08:16:26,20280,8,questionnaire-t1fh,,5702865,5a245378336eb200013d4630,1591889,,complete,,5eecba4630826a05a67fc23a,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.106,1536x864,1519x754,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Pass,Pass,,,w_nw_order2,consent-quantised,1
