Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
921,1592669370088,20/06/2020 16:09:30,1592669370028,-4,20/06/2020 12:09:30,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,231,306,1,stimulus,Zone1,content_audio,828.094999975292,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_daffodil_daffodir_007.mp3
922,1592669370465,20/06/2020 16:09:30,1592669370397,-4,20/06/2020 12:09:30,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,231,306,2,response,Zone3,response_keyboard_single,360.0600000063423,,,R,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_daffodil_daffodir_007.mp3
923,1592669371452,20/06/2020 16:09:31,1592669371384,-4,20/06/2020 12:09:31,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,231,306,3,Screen 1,fixation,fixation,1000.0199999999022,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_daffodil_daffodir_007.mp3
924,1592669372309,20/06/2020 16:09:32,1592669372246,-4,20/06/2020 12:09:32,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,314,307,1,stimulus,Zone1,content_audio,843.5100000060629,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_pocketful_pocketfur_004.mp3
925,1592669372561,20/06/2020 16:09:32,1592669372505,-4,20/06/2020 12:09:32,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,314,307,2,response,Zone2,response_keyboard_single,250.4600000102073,,,L,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_pocketful_pocketfur_004.mp3
926,1592669373577,20/06/2020 16:09:33,1592669373500,-4,20/06/2020 12:09:33,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,314,307,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_pocketful_pocketfur_004.mp3
927,1592669374470,20/06/2020 16:09:34,1592669374405,-4,20/06/2020 12:09:34,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,209,308,1,stimulus,Zone1,content_audio,892.4150000093505,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_automobeer_automobile_005.mp3
928,1592669375079,20/06/2020 16:09:35,1592669375009,-4,20/06/2020 12:09:35,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,209,308,2,response,Zone3,response_keyboard_single,594.1350000211969,,,R,1,0,1,0,,,,,2,Trial,,1,L,R,nonword_automobeer_automobile_005.mp3
929,1592669376062,20/06/2020 16:09:36,1592669376002,-4,20/06/2020 12:09:36,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,209,308,3,Screen 1,fixation,fixation,1000.0199999999022,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_automobeer_automobile_005.mp3
930,1592669377065,20/06/2020 16:09:37,1592669377002,-4,20/06/2020 12:09:37,20280,9,task-gxea,,5715824,5db37bb9da032c000f9e04fa,1595956,,complete,,5eee317dd3c4542a1b6ad8cc,computer,Desktop or Laptop,Mac OS 10.10.5,Chrome 83.0.4103.97,1440x900,1440x820,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Pass,Pass,,,nw_nw_order1,nw_nw_order1,338,309,1,stimulus,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,2,Trial,,1,L,R,nonword_questionnaire_questionail_007.mp3
