Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1,1592673447077,20/06/2020 17:17:27,1592673445291,1,20/06/2020 18:17:25,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,
2,1592673450349,20/06/2020 17:17:30,1592673448177,1,20/06/2020 18:17:28,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,1,1,1,Screen 1,advancementZone,continue_button,2114.0999999988708,,,,,0,1,0,,,,,,Welcome,,,,,
3,1592673461900,20/06/2020 17:17:41,1592673459287,1,20/06/2020 18:17:39,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,2,1,1,Screen 1,advancementZone,continue_button,10924.10000000018,,,,,0,1,0,,,,,,Instructions,,,,,
4,1592673491839,20/06/2020 17:18:11,1592673489112,1,20/06/2020 18:18:09,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,2,1,2,Screen 2,Zone1,continue_button,29626.100000001315,,,,,0,1,0,,,,,,Instructions,,,,,
5,1592673492680,20/06/2020 17:18:12,1592673490097,1,20/06/2020 18:18:10,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,81,1,1,stimulus,fixation,fixation,1000.1749999999956,,,,,0,1,0,,,,,1,Trial,,1,D,G,episogue_episode_005.mp3
6,1592673497598,20/06/2020 17:18:17,1592673496094,1,20/06/2020 18:18:16,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,81,1,2,response,Zone1,timelimit_screen,6000.1860000000015,,,,,0,1,0,,,1,,1,Trial,,1,D,G,episogue_episode_005.mp3
7,1592673499286,20/06/2020 17:18:19,1592673497093,1,20/06/2020 18:18:17,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,81,1,3,Screen 1,fixation,fixation,1000.0780000000013,,,,,0,1,0,,,,,1,Trial,,1,D,G,episogue_episode_005.mp3
8,1592673500426,20/06/2020 17:18:20,1592673498091,1,20/06/2020 18:18:18,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,73,2,1,stimulus,fixation,fixation,1000.0880000000034,,,,,0,1,0,,,,,1,Trial,,1,D,G,epilogue_epilod_010.mp3
9,1592673505538,20/06/2020 17:18:25,1592673504097,1,20/06/2020 18:18:24,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,73,2,2,response,Zone1,timelimit_screen,6000.484999999993,,,,,0,1,0,,,1,,1,Trial,,1,D,G,epilogue_epilod_010.mp3
10,1592673507047,20/06/2020 17:18:27,1592673505093,1,20/06/2020 18:18:25,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,73,2,3,Screen 1,fixation,fixation,1000.0820000000022,,,,,0,1,0,,,,,1,Trial,,1,D,G,epilogue_epilod_010.mp3
11,1592673508013,20/06/2020 17:18:28,1592673506095,1,20/06/2020 18:18:26,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,146,3,1,stimulus,fixation,fixation,1000.0810000000129,,,,,0,1,0,,,,,1,Trial,,1,D,G,monologue_monolod_010.mp3
12,1592673514556,20/06/2020 17:18:34,1592673512095,1,20/06/2020 18:18:32,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,146,3,2,response,Zone1,timelimit_screen,6000.486999999979,,,,,0,1,0,,,1,,1,Trial,,1,D,G,monologue_monolod_010.mp3
13,1592673515510,20/06/2020 17:18:35,1592673513094,1,20/06/2020 18:18:33,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,146,3,3,Screen 1,fixation,fixation,1000.0830000000133,,,,,0,1,0,,,,,1,Trial,,1,D,G,monologue_monolod_010.mp3
14,1592673516323,20/06/2020 17:18:36,1592673514094,1,20/06/2020 18:18:34,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,12,4,1,stimulus,fixation,fixation,1000.0849999999919,,,,,0,1,0,,,,,1,Trial,,1,D,G,analogue_analod_006.mp3
15,1592673522515,20/06/2020 17:18:42,1592673520099,1,20/06/2020 18:18:40,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,12,4,2,response,Zone1,timelimit_screen,6000.487000000008,,,,,0,1,0,,,1,,1,Trial,,1,D,G,analogue_analod_006.mp3
16,1592673523386,20/06/2020 17:18:43,1592673521095,1,20/06/2020 18:18:41,20280,10,task-b22n,,5716311,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,800x360,980x366,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,w_nw_order1,w_nw_order1,12,4,3,Screen 1,fixation,fixation,1000.0859999999957,,,,,0,1,0,,,,,1,Trial,,1,D,G,analogue_analod_006.mp3
