Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
197,1592673285156,20/06/2020 17:14:45,1592673285089,-5,20/06/2020 12:14:45,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,10,65,1,stimulus,Zone1,content_audio,804.6900000190362,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_atmosphere_atmosphill_005.mp3
198,1592673285563,20/06/2020 17:14:45,1592673285499,-5,20/06/2020 12:14:45,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,10,65,2,response,Zone3,response_keyboard_single,402.41999994032085,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_atmosphere_atmosphill_005.mp3
199,1592673286563,20/06/2020 17:14:46,1592673286489,-5,20/06/2020 12:14:46,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,10,65,3,Screen 1,fixation,fixation,999.960000000021,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_atmosphere_atmosphill_005.mp3
200,1592673287344,20/06/2020 17:14:47,1592673287271,-5,20/06/2020 12:14:47,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,99,66,1,stimulus,Zone1,content_audio,769.3499999586493,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_metaphor_metaphull_005.mp3
201,1592673289583,20/06/2020 17:14:49,1592673289521,-5,20/06/2020 12:14:49,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,99,66,2,response,Zone3,response_keyboard_single,2242.045000079088,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_metaphor_metaphull_005.mp3
202,1592673290579,20/06/2020 17:14:50,1592673290514,-5,20/06/2020 12:14:50,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,99,66,3,Screen 1,fixation,fixation,999.9599999999919,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_metaphor_metaphull_005.mp3
203,1592673291407,20/06/2020 17:14:51,1592673291335,-5,20/06/2020 12:14:51,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,62,67,1,stimulus,Zone1,content_audio,802.5249999482185,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_domicile_domicire_004.mp3
204,1592673291969,20/06/2020 17:14:51,1592673291900,-5,20/06/2020 12:14:51,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,62,67,2,response,Zone2,response_keyboard_single,557.6400000136346,,,L,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_domicile_domicire_004.mp3
205,1592673292971,20/06/2020 17:14:52,1592673292897,-5,20/06/2020 12:14:52,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,62,67,3,Screen 1,fixation,fixation,999.960000000021,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_domicile_domicire_004.mp3
206,1592673293565,20/06/2020 17:14:53,1592673293494,-5,20/06/2020 12:14:53,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,142,68,1,stimulus,Zone1,content_audio,585.4550000512972,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_pocketful_pocketfur_008.mp3
207,1592673294127,20/06/2020 17:14:54,1592673294060,-5,20/06/2020 12:14:54,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,142,68,2,response,Zone3,response_keyboard_single,557.8949999762699,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_pocketful_pocketfur_008.mp3
208,1592673295102,20/06/2020 17:14:55,1592673295047,-5,20/06/2020 12:14:55,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,142,68,3,Screen 1,fixation,fixation,999.9599999999919,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_pocketful_pocketfur_008.mp3
209,1592673295902,20/06/2020 17:14:55,1592673295840,-5,20/06/2020 12:14:55,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,96,69,1,stimulus,Zone1,content_audio,781.5699999919161,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_metaphor_metaphull_003.mp3
210,1592673296074,20/06/2020 17:14:56,1592673295988,-5,20/06/2020 12:14:55,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,96,69,2,response,Zone3,response_keyboard_single,140.599999926053,,,R,1,0,1,0,,,,,1,Trial,,1,L,R,nonword_metaphor_metaphull_003.mp3
211,1592673297043,20/06/2020 17:14:57,1592673296980,-5,20/06/2020 12:14:56,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,96,69,3,Screen 1,fixation,fixation,999.9599999999919,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_metaphor_metaphull_003.mp3
212,1592673297683,20/06/2020 17:14:57,1592673297604,-5,20/06/2020 12:14:57,20280,10,task-f85n,,5716272,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Phonetic Judgment (Context Stimuli),13,Yes,Fail,Pass,Pass,,nw_nw_order2,nw_nw_order2,49,70,1,stimulus,Zone1,content_audio,612.1649999404326,,,,,0,1,0,,,,,1,Trial,,1,L,R,nonword_daffodil_daffodir_007.mp3
