Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
1075,1589578184224,15/05/2020 21:29:44,1589578182634,-4,15/05/2020 17:29:42,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,306,357,2,response,Zone3,response_keyboard_single,48.29999999853317,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,same_shame_008.mp3
1076,1589578185151,15/05/2020 21:29:45,1589578183606,-4,15/05/2020 17:29:43,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,306,357,3,Screen 1,fixation,fixation,999.1220000000903,,,,0,1,0,,,,,3,Trial,,1,S,SH,same_shame_008.mp3
1077,1589578186167,15/05/2020 21:29:46,1589578184606,-4,15/05/2020 17:29:44,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,340,358,1,stimulus,fixation,fixation,999.3779999999097,,,,0,1,0,,,,,3,Trial,,1,S,SH,sign_shine_007.mp3
1078,1589578186447,15/05/2020 21:29:46,1589578184905,-4,15/05/2020 17:29:44,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,340,358,2,response,Zone3,response_keyboard_single,267.5149999995483,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sign_shine_007.mp3
1079,1589578187416,15/05/2020 21:29:47,1589578185879,-4,15/05/2020 17:29:45,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,340,358,3,Screen 1,fixation,fixation,999.314000000013,,,,0,1,0,,,,,3,Trial,,1,S,SH,sign_shine_007.mp3
1080,1589578188354,15/05/2020 21:29:48,1589578186814,-4,15/05/2020 17:29:46,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,380,359,1,stimulus,Zone1,content_audio,893.804999999702,,,,0,1,0,,,,,3,Trial,,1,S,SH,sock_shock_009.mp3
1081,1589578188494,15/05/2020 21:29:48,1589578186938,-4,15/05/2020 17:29:46,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,380,359,2,response,Zone3,response_keyboard_single,93.86000000080094,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sock_shock_009.mp3
1082,1589578189468,15/05/2020 21:29:49,1589578187928,-4,15/05/2020 17:29:47,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,380,359,3,Screen 1,fixation,fixation,999.3270000000484,,,,0,1,0,,,,,3,Trial,,1,S,SH,sock_shock_009.mp3
1083,1589578190392,15/05/2020 21:29:50,1589578188857,-4,15/05/2020 17:29:48,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,427,360,1,stimulus,Zone1,content_audio,886.1749999995809,,,,0,1,0,,,,,3,Trial,,1,S,SH,sue_shoe_006.mp3
1084,1589578190845,15/05/2020 21:29:50,1589578189314,-4,15/05/2020 17:29:49,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,427,360,2,response,Zone3,response_keyboard_single,427.40000000048894,,SH,1,0,1,0,,,,,3,Trial,,1,S,SH,sue_shoe_006.mp3
1085,1589578191845,15/05/2020 21:29:51,1589578190301,-4,15/05/2020 17:29:50,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,427,360,3,Screen 1,fixation,fixation,999.2789999999804,,,,0,1,0,,,,,3,Trial,,1,S,SH,sue_shoe_006.mp3
1086,1589578192847,15/05/2020 21:29:52,1589578191301,-4,15/05/2020 17:29:51,17840,3,task-gxea,,4965415,5cedc6a0af7838001999ab96,1408608,,complete,,5ebf0624ba4443196d034c4f,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1920x1080,1920x979,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order1,Order1,299,361,1,stimulus,fixation,fixation,999.3510000000242,,,,0,1,0,,,,,3,Trial,,1,S,SH,same_shame_005.mp3
