Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
609,1589728303294,17/05/2020 15:11:43,1589728306773,-4,17/05/2020 11:11:46,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,276,197,1,stimulus,Zone1,content_audio,735.1150000467896,,,,0,1,0,,,,,2,Trial,,1,K,T,tub_cub_003.mp3
610,1589728303658,17/05/2020 15:11:43,1589728306996,-4,17/05/2020 11:11:46,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,276,197,2,response,Zone3,response_keyboard_single,15.620000194758177,,T,1,0,1,0,,,,,2,Trial,,1,K,T,tub_cub_003.mp3
611,1589728304270,17/05/2020 15:11:44,1589728307757,-4,17/05/2020 11:11:47,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,276,197,3,Screen 1,fixation,fixation,999.1510000000126,,,,0,1,0,,,,,2,Trial,,1,K,T,tub_cub_003.mp3
612,1589728305269,17/05/2020 15:11:45,1589728308699,-4,17/05/2020 11:11:48,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,225,198,1,stimulus,Zone1,content_audio,839.6899998188019,,,,0,1,0,,,,,2,Trial,,1,K,T,tar_car_004.mp3
613,1589728305630,17/05/2020 15:11:45,1589728309119,-4,17/05/2020 11:11:49,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,225,198,2,response,Zone2,response_keyboard_single,372.7299999445677,,K,1,0,1,0,,,,,2,Trial,,1,K,T,tar_car_004.mp3
614,1589728306676,17/05/2020 15:11:46,1589728310107,-4,17/05/2020 11:11:50,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,225,198,3,Screen 1,fixation,fixation,999.2719999999972,,,,0,1,0,,,,,2,Trial,,1,K,T,tar_car_004.mp3
615,1589728307738,17/05/2020 15:11:47,1589728311112,-4,17/05/2020 11:11:51,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,213,199,1,stimulus,fixation,fixation,999.2789999999804,,,,0,1,0,,,,,2,Trial,,1,K,T,tape_cape_007.mp3
616,1589728308207,17/05/2020 15:11:48,1589728311555,-4,17/05/2020 11:11:51,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,213,199,2,response,Zone3,response_keyboard_single,88.42500019818544,,T,1,0,1,0,,,,,2,Trial,,1,K,T,tape_cape_007.mp3
617,1589728308629,17/05/2020 15:11:48,1589728312103,-4,17/05/2020 11:11:52,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,213,199,3,Screen 1,fixation,fixation,998.7069999999949,,,,0,1,0,,,,,2,Trial,,1,K,T,tape_cape_007.mp3
618,1589728309599,17/05/2020 15:11:49,1589728312994,-4,17/05/2020 11:11:52,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,195,200,1,stimulus,Zone1,content_audio,787.6699999906123,,,,0,1,0,,,,,2,Trial,,1,K,T,tan_can_007.mp3
619,1589728309911,17/05/2020 15:11:49,1589728313266,-4,17/05/2020 11:11:53,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,195,200,2,response,Zone3,response_keyboard_single,88.39000016450882,,T,1,0,1,0,,,,,2,Trial,,1,K,T,tan_can_007.mp3
620,1589728311364,17/05/2020 15:11:51,1589728314416,-4,17/05/2020 11:11:54,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,195,200,3,Screen 1,fixation,fixation,999.0509999999776,,,,0,1,0,,,,,2,Trial,,1,K,T,tan_can_007.mp3
621,1589728312333,17/05/2020 15:11:52,1589728315254,-4,17/05/2020 11:11:55,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,199,201,1,stimulus,fixation,fixation,999.329000000027,,,,0,1,0,,,,,2,Trial,,1,K,T,tan_can_009.mp3
622,1589728312863,17/05/2020 15:11:52,1589728316330,-4,17/05/2020 11:11:56,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,199,201,2,response,Zone2,response_keyboard_single,600.830000359565,,K,1,0,1,0,,,,,2,Trial,,1,K,T,tan_can_009.mp3
623,1589728313926,17/05/2020 15:11:53,1589728317315,-4,17/05/2020 11:11:57,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,199,201,3,Screen 1,fixation,fixation,999.4239999999991,,,,0,1,0,,,,,2,Trial,,1,K,T,tan_can_009.mp3
624,1589728315588,17/05/2020 15:11:55,1589728318300,-4,17/05/2020 11:11:58,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,204,202,1,stimulus,fixation,fixation,998.4820000000182,,,,0,1,0,,,,,2,Trial,,1,K,T,tape_cape_003.mp3
625,1589728315886,17/05/2020 15:11:55,1589728318580,-4,17/05/2020 11:11:58,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,204,202,2,response,Zone3,response_keyboard_single,149.99500010162592,,T,1,0,1,0,,,,,2,Trial,,1,K,T,tape_cape_003.mp3
626,1589728316135,17/05/2020 15:11:56,1589728319564,-4,17/05/2020 11:11:59,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,204,202,3,Screen 1,fixation,fixation,999.1940000000177,,,,0,1,0,,,,,2,Trial,,1,K,T,tape_cape_003.mp3
627,1589728317150,17/05/2020 15:11:57,1589728320569,-4,17/05/2020 11:12:00,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,226,203,1,stimulus,fixation,fixation,999.2469999999739,,,,0,1,0,,,,,2,Trial,,1,K,T,tar_car_005.mp3
628,1589728317448,17/05/2020 15:11:57,1589728320838,-4,17/05/2020 11:12:00,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,226,203,2,response,Zone2,response_keyboard_single,55.42000010609627,,K,1,0,1,0,,,,,2,Trial,,1,K,T,tar_car_005.mp3
629,1589728318402,17/05/2020 15:11:58,1589728321560,-4,17/05/2020 11:12:01,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,226,203,3,Screen 1,fixation,fixation,998.8190000000177,,,,0,1,0,,,,,2,Trial,,1,K,T,tar_car_005.mp3
630,1589728319123,17/05/2020 15:11:59,1589728322442,-4,17/05/2020 11:12:02,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,175,204,1,stimulus,Zone1,content_audio,758.5150003433228,,,,0,1,0,,,,,2,Trial,,1,K,T,tall_call_006.mp3
631,1589728319262,17/05/2020 15:11:59,1589728322552,-4,17/05/2020 11:12:02,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,175,204,2,response,Zone2,response_keyboard_single,32.98999974504113,,K,1,0,1,0,,,,,2,Trial,,1,K,T,tall_call_006.mp3
632,1589728321125,17/05/2020 15:12:01,1589728323541,-4,17/05/2020 11:12:03,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,175,204,3,Screen 1,fixation,fixation,998.3460000000196,,,,0,1,0,,,,,2,Trial,,1,K,T,tall_call_006.mp3
633,1589728321829,17/05/2020 15:12:01,1589728324370,-4,17/05/2020 11:12:04,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,153,205,1,stimulus,Zone1,content_audio,723.0299999937415,,,,0,1,0,,,,,2,Trial,,1,K,T,tale_kale_004.mp3
634,1589728321829,17/05/2020 15:12:01,1589728324794,-4,17/05/2020 11:12:04,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,153,205,2,response,Zone3,response_keyboard_single,9.199999738484621,,T,1,0,1,0,,,,,2,Trial,,1,K,T,tale_kale_004.mp3
635,1589728322344,17/05/2020 15:12:02,1589728325360,-4,17/05/2020 11:12:05,17840,4,task-npku,,4988998,5e49da75ea0f3c4553a9e3b2,1415018,,complete,,5ec14f496c113a57725eefe2,computer,Desktop or Laptop,Windows 8.1,Chrome 81.0.4044.138,1366x768,1366x625,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order3,Order3,153,205,3,Screen 1,fixation,fixation,998.9860000000335,,,,0,1,0,,,,,2,Trial,,1,K,T,tale_kale_004.mp3
