Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
201,1589578605398,15/05/2020 21:36:45,1589578604448,-7,15/05/2020 14:36:44,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,91,66,3,Screen 1,fixation,fixation,999.9700000000012,,,,0,1,0,,,,,1,Trial,,1,L,R,lip_rip_010.mp3
202,1589578606242,15/05/2020 21:36:46,1589578605282,-7,15/05/2020 14:36:45,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,15,67,1,stimulus,Zone1,content_audio,821.9999999273568,,,,0,1,0,,,,,1,Trial,,1,L,R,lace_race_008.mp3
203,1589578606602,15/05/2020 21:36:46,1589578605649,-7,15/05/2020 14:36:45,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,15,67,2,response,Zone3,response_keyboard_single,361.64999997708946,,R,1,0,1,0,,,,,1,Trial,,1,L,R,lace_race_008.mp3
204,1589578607601,15/05/2020 21:36:47,1589578606649,-7,15/05/2020 14:36:46,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,15,67,3,Screen 1,fixation,fixation,1000.1440000000002,,,,0,1,0,,,,,1,Trial,,1,L,R,lace_race_008.mp3
205,1589578608476,15/05/2020 21:36:48,1589578607521,-7,15/05/2020 14:36:47,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,107,68,1,stimulus,Zone1,content_audio,860.2899999823421,,,,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_009.mp3
206,1589578609820,15/05/2020 21:36:49,1589578608857,-7,15/05/2020 14:36:48,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,107,68,2,response,Zone3,response_keyboard_single,1330.2850000327453,,R,1,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_009.mp3
207,1589578610805,15/05/2020 21:36:50,1589578609848,-7,15/05/2020 14:36:49,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,107,68,3,Screen 1,fixation,fixation,1000.109999999986,,,,0,1,0,,,,,1,Trial,,1,L,R,lock_rock_009.mp3
208,1589578611728,15/05/2020 21:36:51,1589578610762,-7,15/05/2020 14:36:50,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,63,69,1,stimulus,Zone1,content_audio,903.1999999424443,,,,0,1,0,,,,,1,Trial,,1,L,R,limb_rim_005.mp3
209,1589578612149,15/05/2020 21:36:52,1589578611185,-7,15/05/2020 14:36:51,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,63,69,2,response,Zone2,response_keyboard_single,417.6649999571964,,L,1,0,1,0,,,,,1,Trial,,1,L,R,limb_rim_005.mp3
210,1589578613133,15/05/2020 21:36:53,1589578612181,-7,15/05/2020 14:36:52,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,63,69,3,Screen 1,fixation,fixation,1000.0039999999863,,,,0,1,0,,,,,1,Trial,,1,L,R,limb_rim_005.mp3
211,1589578614024,15/05/2020 21:36:54,1589578613061,-7,15/05/2020 14:36:53,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,123,70,1,stimulus,Zone1,content_audio,869.3150000181049,,,,0,1,0,,,,,1,Trial,,1,L,R,lot_rot_008.mp3
212,1589578614476,15/05/2020 21:36:54,1589578613492,-7,15/05/2020 14:36:53,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,123,70,2,response,Zone3,response_keyboard_single,425.01000000629574,,R,1,0,1,0,,,,,1,Trial,,1,L,R,lot_rot_008.mp3
213,1589578615461,15/05/2020 21:36:55,1589578614482,-7,15/05/2020 14:36:54,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,123,70,3,Screen 1,fixation,fixation,1000.0289999999804,,,,0,1,0,,,,,1,Trial,,1,L,R,lot_rot_008.mp3
214,1589578616367,15/05/2020 21:36:56,1589578615402,-7,15/05/2020 14:36:55,17840,3,task-f85n,,4965922,5d5e1793e81fc40017c259cc,1408700,,complete,,5ebf0a07bbb4521526180eff,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.121,1920x1080,978x822,Pass,Phonetic Judgment (Target Stimuli),2,Yes,Pass,Pass,,,Order2,Order2,65,71,1,stimulus,Zone1,content_audio,905.945000005886,,,,0,1,0,,,,,1,Trial,,1,L,R,limb_rim_006.mp3
