Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname
11,1589830137627,18/05/2020 19:28:57,1589830136635,-6,18/05/2020 13:28:56,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,133,3,1,stimulus,Zone1,content_audio,709.0000000025611,,,,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_004.mp3
12,1589830138480,18/05/2020 19:28:58,1589830137469,-6,18/05/2020 13:28:57,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,133,3,2,response,Zone3,response_keyboard_single,810.9999999869615,,T,1,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_004.mp3
13,1589830139542,18/05/2020 19:28:59,1589830138458,-6,18/05/2020 13:28:58,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,133,3,3,Screen 1,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,tub_cub_004.mp3
14,1589830140312,18/05/2020 19:29:00,1589830139275,-6,18/05/2020 13:28:59,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,53,4,1,stimulus,Zone1,content_audio,786.0000000073342,,,,0,1,0,,,,,1,Trial,,1,K,T,tan_can_009.mp3
15,1589830142859,18/05/2020 19:29:02,1589830141865,-6,18/05/2020 13:29:01,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,53,4,2,response,Zone2,response_keyboard_single,2562.999999994645,,K,1,0,1,0,,,,,1,Trial,,1,K,T,tan_can_009.mp3
16,1589830143905,18/05/2020 19:29:03,1589830142862,-6,18/05/2020 13:29:02,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,53,4,3,Screen 1,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,tan_can_009.mp3
17,1589830144680,18/05/2020 19:29:04,1589830143695,-6,18/05/2020 13:29:03,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,69,5,1,stimulus,Zone1,content_audio,794.9999999982538,,,,0,1,0,,,,,1,Trial,,1,K,T,tape_cape_008.mp3
18,1589830146438,18/05/2020 19:29:06,1589830145436,-6,18/05/2020 13:29:05,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,69,5,2,response,Zone2,response_keyboard_single,1717.9999999934807,,K,1,0,1,0,,,,,1,Trial,,1,K,T,tape_cape_008.mp3
19,1589830147425,18/05/2020 19:29:07,1589830146432,-6,18/05/2020 13:29:06,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,69,5,3,Screen 1,fixation,fixation,1000.9799999999959,,,,0,1,0,,,,,1,Trial,,1,K,T,tape_cape_008.mp3
20,1589830148300,18/05/2020 19:29:08,1589830147315,-6,18/05/2020 13:29:07,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,123,6,1,stimulus,Zone1,content_audio,845.0000000011642,,,,0,1,0,,,,,1,Trial,,1,K,T,top_cop_008.mp3
21,1589830149030,18/05/2020 19:29:09,1589830148040,-6,18/05/2020 13:29:08,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,123,6,2,response,Zone3,response_keyboard_single,699.9999999970896,,T,1,0,1,0,,,,,1,Trial,,1,K,T,top_cop_008.mp3
22,1589830150030,18/05/2020 19:29:10,1589830149034,-6,18/05/2020 13:29:09,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,123,6,3,Screen 1,fixation,fixation,1000.9800000000032,,,,0,1,0,,,,,1,Trial,,1,K,T,top_cop_008.mp3
23,1589830150812,18/05/2020 19:29:10,1589830149815,-6,18/05/2020 13:29:09,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,20,7,1,stimulus,Zone1,content_audio,748.9999999961583,,,,0,1,0,,,,,1,Trial,,1,K,T,tale_kale_010.mp3
24,1589830151407,18/05/2020 19:29:11,1589830150415,-6,18/05/2020 13:29:10,17840,4,task-117o,,5014828,5de7d12c26dd95000b6824c5,1422864,,complete,,5ec2e11c16eb9d10ef6f17ad,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1440x900,1440x757,Pass,Phonetic Judgment (Target Stimuli),4,Yes,Pass,Pass,,,Order4,Order4,20,7,2,response,Zone2,response_keyboard_single,578.0000000086147,,K,1,0,1,0,,,,,1,Trial,,1,K,T,tale_kale_010.mp3
