Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
11,1593629659319,01/07/2020 18:54:19,1593629658575,-4,01/07/2020 14:54:18,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,27,3,1,stimulus,Zone1,content_audio,1699.4399999966845,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_same_shame_008.mp3,pocketful,same,shame,8,2,s-sh
12,1593629660131,01/07/2020 18:54:20,1593629659390,-4,01/07/2020 14:54:19,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,27,3,2,response,Zone2,response_keyboard_single,808.2899999863002,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_same_shame_008.mp3,pocketful,same,shame,8,2,s-sh
13,1593629661132,01/07/2020 18:54:21,1593629660378,-4,01/07/2020 14:54:20,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,27,3,3,Screen 1,fixation,fixation,999.9400000000023,,,,,0,1,0,,,,,1,Trial,,1,sh,s,pocketful_same_shame_008.mp3,pocketful,same,shame,8,2,s-sh
14,1593629662895,01/07/2020 18:54:22,1593629662155,-4,01/07/2020 14:54:22,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,11,4,1,stimulus,Zone1,content_audio,1768.0850000178907,,,,,0,1,0,,,,,1,Trial,,1,sh,s,isolate_same_shame_007.mp3,isolate,same,shame,7,1,s-sh
15,1593629663941,01/07/2020 18:54:23,1593629663186,-4,01/07/2020 14:54:23,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,11,4,2,response,Zone2,response_keyboard_single,1022.6699999766424,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,isolate_same_shame_007.mp3,isolate,same,shame,7,1,s-sh
16,1593629664927,01/07/2020 18:54:24,1593629664178,-4,01/07/2020 14:54:24,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,11,4,3,Screen 1,fixation,fixation,999.5380000000005,,,,,0,1,0,,,,,1,Trial,,1,sh,s,isolate_same_shame_007.mp3,isolate,same,shame,7,1,s-sh
17,1593629666725,01/07/2020 18:54:26,1593629665975,-4,01/07/2020 14:54:25,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,70,5,1,stimulus,Zone1,content_audio,1786.4399999962188,,,,,0,1,0,,,,,1,Trial,,1,sh,s,isolate_sign_shine_006.mp3,isolate,sign,shine,6,0,s-sh
18,1593629667272,01/07/2020 18:54:27,1593629666522,-4,01/07/2020 14:54:26,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,70,5,2,response,Zone2,response_keyboard_single,539.8200000054203,,,sh,1,0,1,0,,,,,1,Trial,,1,sh,s,isolate_sign_shine_006.mp3,isolate,sign,shine,6,0,s-sh
19,1593629668255,01/07/2020 18:54:28,1593629667512,-4,01/07/2020 14:54:27,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,70,5,3,Screen 1,fixation,fixation,999.9729999999981,,,,,0,1,0,,,,,1,Trial,,1,sh,s,isolate_sign_shine_006.mp3,isolate,sign,shine,6,0,s-sh
20,1593629669958,01/07/2020 18:54:29,1593629669214,-4,01/07/2020 14:54:29,21059,6,task-npku,,5859775,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order3,Order3,123,6,1,stimulus,Zone1,content_audio,1675.969999982044,,,,,0,1,0,,,,,1,Trial,,1,sh,s,catalogue_sort_short_003.mp3,catalogue,sort,short,3,-2,s-sh
