Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
937,1593629803430,01/07/2020 18:56:43,1593629803343,-5,01/07/2020 13:56:43,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,452,310,3,Screen 1,fixation,fixation,1000.5460000000894,,,,,0,1,0,,,,,3,Trial,,1,r,l,maniac_lot_rot_005.mp3,maniac,lot,rot,5,0,l-r
938,1593629805153,01/07/2020 18:56:45,1593629805061,-5,01/07/2020 13:56:45,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,343,311,1,stimulus,Zone1,content_audio,1703.1749999951571,,,,,0,1,0,,,,,3,Trial,,1,r,l,universe_lake_rake_006.mp3,universe,lake,rake,6,1,l-r
939,1593629805418,01/07/2020 18:56:45,1593629805325,-5,01/07/2020 13:56:45,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,343,311,2,response,Zone2,response_keyboard_single,254.16499999840744,,,r,1,0,1,0,,,,,3,Trial,,1,r,l,universe_lake_rake_006.mp3,universe,lake,rake,6,1,l-r
940,1593629806387,01/07/2020 18:56:46,1593629806311,-5,01/07/2020 13:56:46,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,343,311,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,universe_lake_rake_006.mp3,universe,lake,rake,6,1,l-r
941,1593629808091,01/07/2020 18:56:48,1593629808009,-5,01/07/2020 13:56:48,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,431,312,1,stimulus,Zone1,content_audio,1681.6099999996368,,,,,0,1,0,,,,,3,Trial,,1,r,l,catalogue_lot_rot_004.mp3,catalogue,lot,rot,4,-1,l-r
942,1593629808263,01/07/2020 18:56:48,1593629808184,-5,01/07/2020 13:56:48,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,431,312,2,response,Zone2,response_keyboard_single,163.44499999843538,,,r,1,0,1,0,,,,,3,Trial,,1,r,l,catalogue_lot_rot_004.mp3,catalogue,lot,rot,4,-1,l-r
943,1593629809268,01/07/2020 18:56:49,1593629809177,-5,01/07/2020 13:56:49,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,431,312,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,catalogue_lot_rot_004.mp3,catalogue,lot,rot,4,-1,l-r
944,1593629811049,01/07/2020 18:56:51,1593629810958,-5,01/07/2020 13:56:50,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,393,313,1,stimulus,Zone1,content_audio,1764.3800000005867,,,,,0,1,0,,,,,3,Trial,,1,r,l,catalogue_lip_rip_007.mp3,catalogue,lip,rip,7,1,l-r
945,1593629811314,01/07/2020 18:56:51,1593629811224,-5,01/07/2020 13:56:51,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,393,313,2,response,Zone2,response_keyboard_single,254.39499999629334,,,r,1,0,1,0,,,,,3,Trial,,1,r,l,catalogue_lip_rip_007.mp3,catalogue,lip,rip,7,1,l-r
946,1593629812299,01/07/2020 18:56:52,1593629812210,-5,01/07/2020 13:56:52,21059,6,task-117o,,5859619,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order4,Order4,393,313,3,Screen 1,fixation,fixation,1000.0200000000186,,,,,0,1,0,,,,,3,Trial,,1,r,l,catalogue_lip_rip_007.mp3,catalogue,lip,rip,7,1,l-r
