Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
1491,1593631509793,01/07/2020 19:25:09,1593631509744,-4,01/07/2020 15:25:09,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,391,495,3,Screen 1,fixation,fixation,1002,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,isolate_sell_shell_007.mp3,isolate,sell,shell,7,-1,s-sh
1492,1593631511792,01/07/2020 19:25:11,1593631511746,-4,01/07/2020 15:25:11,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,395,496,1,stimulus,fixation,fixation,2001,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,maniac_sell_shell_006.mp3,maniac,sell,shell,6,-2,s-sh
1493,1593631514810,01/07/2020 19:25:14,1593631514742,-4,01/07/2020 15:25:14,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,395,496,2,response,Zone2,response_keyboard_single,2988,,,S sound,1,0,1,0,,,,,3,Trial,,1,S sound,SH sound,maniac_sell_shell_006.mp3,maniac,sell,shell,6,-2,s-sh
1494,1593631515771,01/07/2020 19:25:15,1593631515729,-4,01/07/2020 15:25:15,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,395,496,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,maniac_sell_shell_006.mp3,maniac,sell,shell,6,-2,s-sh
1495,1593631517646,01/07/2020 19:25:17,1593631517611,-4,01/07/2020 15:25:17,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,489,497,1,stimulus,Zone1,content_audio,1869,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,maniac_sort_short_007.mp3,maniac,sort,short,7,2,s-sh
1496,1593631517771,01/07/2020 19:25:17,1593631517694,-4,01/07/2020 15:25:17,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,489,497,2,response,Zone3,response_keyboard_single,76,,,SH sound,1,0,1,0,,,,,3,Trial,,1,S sound,SH sound,maniac_sort_short_007.mp3,maniac,sort,short,7,2,s-sh
1497,1593631518742,01/07/2020 19:25:18,1593631518679,-4,01/07/2020 15:25:18,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,489,497,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,maniac_sort_short_007.mp3,maniac,sort,short,7,2,s-sh
1498,1593631520730,01/07/2020 19:25:20,1593631520676,-4,01/07/2020 15:25:20,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,400,498,1,stimulus,Zone1,content_audio,1982.9999999997672,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,overboard_sell_shell_006.mp3,overboard,sell,shell,6,-2,s-sh
1499,1593631521123,01/07/2020 19:25:21,1593631521078,-4,01/07/2020 15:25:21,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,400,498,2,response,Zone2,response_keyboard_single,395,,,S sound,1,0,1,0,,,,,3,Trial,,1,S sound,SH sound,overboard_sell_shell_006.mp3,overboard,sell,shell,6,-2,s-sh
1500,1593631522107,01/07/2020 19:25:22,1593631522064,-4,01/07/2020 15:25:22,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,400,498,3,Screen 1,fixation,fixation,1001,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,overboard_sell_shell_006.mp3,overboard,sell,shell,6,-2,s-sh
1501,1593631524073,01/07/2020 19:25:24,1593631524020,-4,01/07/2020 15:25:24,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,496,499,1,stimulus,Zone1,content_audio,1946,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,pocketful_sort_short_004.mp3,pocketful,sort,short,4,-1,s-sh
1502,1593631524511,01/07/2020 19:25:24,1593631524470,-4,01/07/2020 15:25:24,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,496,499,2,response,Zone2,response_keyboard_single,443,,,S sound,1,0,1,0,,,,,3,Trial,,1,S sound,SH sound,pocketful_sort_short_004.mp3,pocketful,sort,short,4,-1,s-sh
1503,1593631525605,01/07/2020 19:25:25,1593631525466,-4,01/07/2020 15:25:25,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,496,499,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,pocketful_sort_short_004.mp3,pocketful,sort,short,4,-1,s-sh
1504,1593631527576,01/07/2020 19:25:27,1593631527468,-4,01/07/2020 15:25:27,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,360,500,1,stimulus,fixation,fixation,2001,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,isolate_same_shame_004.mp3,isolate,same,shame,4,-2,s-sh
1505,1593631527686,01/07/2020 19:25:27,1593631527590,-4,01/07/2020 15:25:27,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,360,500,2,response,Zone3,response_keyboard_single,114,,,SH sound,1,0,1,0,,,,,3,Trial,,1,S sound,SH sound,isolate_same_shame_004.mp3,isolate,same,shame,4,-2,s-sh
1506,1593631528623,01/07/2020 19:25:28,1593631528583,-4,01/07/2020 15:25:28,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,360,500,3,Screen 1,fixation,fixation,1000,,,,,0,1,0,,,,,3,Trial,,1,S sound,SH sound,isolate_same_shame_004.mp3,isolate,same,shame,4,-2,s-sh
1507,1593631558639,01/07/2020 19:25:58,1593631558590,-4,01/07/2020 15:25:58,21059,6,task-gxea,,5859784,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Phonetic Judgment (CFC Task),5,Yes,Pass,Pass,,,Order1,Order1,505,3,1,Screen 1,Zone1,timelimit_screen,30008,,,,,0,1,0,,,1,,,Break,,,,,,,,,,,
