Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1593639408174,01/07/2020 21:36:48,1593639407350,-4,01/07/2020 17:36:47,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1360x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,BEGIN QUESTIONNAIRE,
2,1593639439406,01/07/2020 21:37:19,1593639438623,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-accent-8,Decline to state
3,1593639439547,01/07/2020 21:37:19,1593639438624,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-accent-text,
4,1593639439547,01/07/2020 21:37:19,1593639438624,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-sex-2,Male
5,1593639439547,01/07/2020 21:37:19,1593639438624,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-ethnicity-2,Not Hispanic or Latino
6,1593639439547,01/07/2020 21:37:19,1593639438624,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-race-5,White
7,1593639439547,01/07/2020 21:37:19,1593639438624,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-handedness,Right-handed
8,1593639439547,01/07/2020 21:37:19,1593639438625,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,response-handedness-quantised,1
9,1593639439547,01/07/2020 21:37:19,1593639438625,-4,01/07/2020 17:37:18,21059,7,questionnaire-d7os,,5861628,5edcf1a9d4e89103f0081dd2,1649834,,complete,,5efd0183d8e2f8132d7c24a6,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1360x768,1343x695,Fail,Demographics-Handedness,2,Yes,Fail,,Fail,Fail,Order2,END QUESTIONNAIRE,31275
1,1593639409831,01/07/2020 21:36:49,1593639410873,-4,01/07/2020 17:36:50,21059,7,questionnaire-d7os,,5861629,5ed95c9a032e0e4f18bae02f,1649838,,complete,,5efd019c981e21137bbe110e,computer,Desktop or Laptop,Windows 10,Firefox 77.0,1920x1080,1920x910,Pass,Demographics-Handedness,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
