Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1593628518531,01/07/2020 18:35:18,1593628518377,-5,01/07/2020 13:35:18,21059,6,questionnaire-t1fh,,5859601,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,BEGIN QUESTIONNAIRE,
2,1593628528087,01/07/2020 18:35:28,1593628527983,-5,01/07/2020 13:35:27,21059,6,questionnaire-t1fh,,5859601,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent,Yes
3,1593628528259,01/07/2020 18:35:28,1593628527985,-5,01/07/2020 13:35:27,21059,6,questionnaire-t1fh,,5859601,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,consent-quantised,1
4,1593628528259,01/07/2020 18:35:28,1593628527985,-5,01/07/2020 13:35:27,21059,6,questionnaire-t1fh,,5859601,5e9401795d82c12686ae8ddd,1649090,,complete,,5efcd71c857e020ea3120fdd,computer,Desktop or Laptop,Mac OS 10.13.6,Chrome 83.0.4103.106,1440x900,1272x797,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order4,END QUESTIONNAIRE,9608
1,1593629446156,01/07/2020 18:50:46,1593629445332,-4,01/07/2020 14:50:45,21059,6,questionnaire-t1fh,,5859753,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x587,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,BEGIN QUESTIONNAIRE,
2,1593629488143,01/07/2020 18:51:28,1593629487390,-4,01/07/2020 14:51:27,21059,6,questionnaire-t1fh,,5859753,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent,Yes
3,1593629488315,01/07/2020 18:51:28,1593629487391,-4,01/07/2020 14:51:27,21059,6,questionnaire-t1fh,,5859753,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,consent-quantised,1
4,1593629488315,01/07/2020 18:51:28,1593629487391,-4,01/07/2020 14:51:27,21059,6,questionnaire-t1fh,,5859753,5d4c7aa8f05d320001760340,1649160,,complete,,5efcdad74ff2090ea1deab02,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1263x587,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order3,END QUESTIONNAIRE,42060
1,1593629475383,01/07/2020 18:51:15,1593629475265,-4,01/07/2020 14:51:15,21059,6,questionnaire-t1fh,,5859757,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,BEGIN QUESTIONNAIRE,
2,1593629496035,01/07/2020 18:51:36,1593629495977,-4,01/07/2020 14:51:35,21059,6,questionnaire-t1fh,,5859757,5d4cc616f87bbe0001f41282,1649162,,complete,,5efcdb1a9801530e73283f7d,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 12.1.2,1440x900,1440x712,Pass,Information-Sheet-MagLab-45 minute,2,Yes,Pass,Pass,,,Order1,consent,Yes
