Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,ShowProgressBar,LeftResponseText,RightResponseText,fname,context,front_word,back_word,step,step_scaled,contrast
1,1593630070342,01/07/2020 19:01:10,1593630069693,-4,01/07/2020 15:01:09,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1593630072327,01/07/2020 19:01:12,1593630071749,-4,01/07/2020 15:01:11,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,1,1,1,Screen 1,advancementZone,continue_button,1307.5400000016089,,,,,0,1,0,,,,,,Welcome,,,,,,,,,,,
3,1593630105022,01/07/2020 19:01:45,1593630104433,-4,01/07/2020 15:01:44,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,2,1,1,Screen 1,advancementZone,continue_button,32402.95000000333,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
4,1593630129641,01/07/2020 19:02:09,1593630129064,-4,01/07/2020 15:02:09,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,2,1,2,Screen 2,Zone1,continue_button,24501.30500000523,,,,,0,1,0,,,,,,Instructions,,,,,,,,,,,
5,1593630131625,01/07/2020 19:02:11,1593630131054,-4,01/07/2020 15:02:11,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,172,1,1,stimulus,fixation,fixation,1998.0319999999992,,,,,0,1,0,,,,,1,Trial,,1,l,r,catalogue_low_row_008.mp3,catalogue,low,row,8,2,l-r
6,1593630135326,01/07/2020 19:02:15,1593630134766,-4,01/07/2020 15:02:14,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,172,1,2,response,Zone3,response_keyboard_single,3633.0349999989267,,,r,1,0,1,0,,,,,1,Trial,,1,l,r,catalogue_low_row_008.mp3,catalogue,low,row,8,2,l-r
7,1593630136315,01/07/2020 19:02:16,1593630135747,-4,01/07/2020 15:02:15,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,172,1,3,Screen 1,fixation,fixation,998.9309999999969,,,,,0,1,0,,,,,1,Trial,,1,l,r,catalogue_low_row_008.mp3,catalogue,low,row,8,2,l-r
8,1593630138190,01/07/2020 19:02:18,1593630137633,-4,01/07/2020 15:02:17,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,37,2,1,stimulus,Zone1,content_audio,1795.254999997269,,,,,0,1,0,,,,,1,Trial,,1,l,r,overboard_lake_rake_007.mp3,overboard,lake,rake,7,2,l-r
9,1593630139240,01/07/2020 19:02:19,1593630138681,-4,01/07/2020 15:02:18,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,37,2,2,response,Zone3,response_keyboard_single,993.15999999817,,,r,1,0,1,0,,,,,1,Trial,,1,l,r,overboard_lake_rake_007.mp3,overboard,lake,rake,7,2,l-r
10,1593630140240,01/07/2020 19:02:20,1593630139675,-4,01/07/2020 15:02:19,21059,6,task-f85n,,5859850,5e2a43116a126f0a33059175,1649174,,complete,,5efcdbce15ba870e93b5aabc,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x613,Fail,Phonetic Judgment (CFC Task),5,Yes,Fail,,Fail,Fail,Order2,Order2,37,2,3,Screen 1,fixation,fixation,998.6499999999942,,,,,0,1,0,,,,,1,Trial,,1,l,r,overboard_lake_rake_007.mp3,overboard,lake,rake,7,2,l-r
