Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-ku42,Question Key,Response
1,1592672867727,20/06/2020 17:07:47,1592672867609,-5,20/06/2020 12:07:47,20280,10,questionnaire-t1fh,,5716242,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,nw_nw_order2,BEGIN QUESTIONNAIRE,
2,1592672935391,20/06/2020 17:08:55,1592672935331,-5,20/06/2020 12:08:55,20280,10,questionnaire-t1fh,,5716242,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,nw_nw_order2,consent,Yes
3,1592672935579,20/06/2020 17:08:55,1592672935334,-5,20/06/2020 12:08:55,20280,10,questionnaire-t1fh,,5716242,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,nw_nw_order2,consent-quantised,1
4,1592672935579,20/06/2020 17:08:55,1592672935334,-5,20/06/2020 12:08:55,20280,10,questionnaire-t1fh,,5716242,5eea570764dab80e672e54db,1596099,,complete,,5eee42496a3a3d2b60d6880d,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 83.0.4103.61,1440x900,1342x734,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,nw_nw_order2,END QUESTIONNAIRE,67725
1,1592672927299,20/06/2020 17:08:47,1592672925578,1,20/06/2020 18:08:45,20280,10,questionnaire-t1fh,,5716246,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,360x800,980x1796,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,w_nw_order1,BEGIN QUESTIONNAIRE,
2,1592672988391,20/06/2020 17:09:48,1592672986233,1,20/06/2020 18:09:46,20280,10,questionnaire-t1fh,,5716246,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,360x800,980x1796,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,w_nw_order1,consent,Yes
3,1592673005682,20/06/2020 17:10:05,1592672986239,1,20/06/2020 18:09:46,20280,10,questionnaire-t1fh,,5716246,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,360x800,980x1796,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,w_nw_order1,consent-quantised,1
4,1592673005682,20/06/2020 17:10:05,1592672986240,1,20/06/2020 18:09:46,20280,10,questionnaire-t1fh,,5716246,5ede390e9a8192068ae6ae40,1596100,,complete,,5eee4251671850079af3ce5d,computer,Desktop or Laptop,Linux x86_64,Chrome 77.0.3865.92,360x800,980x1796,Pass,Information-Sheet-MagLab-30 minute,2,Yes,Fail,Pass,Pass,,w_nw_order1,END QUESTIONNAIRE,60663
END OF FILE
